ParkID,FacilityCount,FacilityType,FacilityURL
67,1,Washrooms,
68,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
68,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
69,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
70,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
70,3,Soccer Fields,
70,1,Baseball Diamonds,
70,1,Lighted Fields,
70,1,Wading Pool,
70,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
70,1,Washrooms,
71,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
71,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
72,1,Skateboard Parks,//vancouver.ca/parks-recreation-culture/skateboard-parks.aspx
72,1,Basketball Courts,
72,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
72,1,Washrooms,
73,1,Community Centres,//vancouver.ca/parks-recreation-culture/community-and-cultural-centres.aspx
73,1,Basketball Courts,
73,1,Baseball Diamonds,
73,1,Field Houses,
73,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
73,2,Tennis Courts,
73,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
73,1,Water/Spray Parks,
73,1,Washrooms,
74,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
74,2,Tennis Courts,
74,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
75,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
75,1,Field Houses,
75,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
75,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
75,1,Swimming Pools,//vancouver.ca/parks-recreation-culture/swimming-pools.aspx
75,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
75,1,Soccer Fields,
75,1,Washrooms,
75,1,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
76,1,Field Houses,
76,1,Football Fields,
76,1,Golf Courses,//vancouver.ca/parks-recreation-culture/golf-courses-pitch-and-putts-and-driving-ranges.aspx
76,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
76,4,Tennis Courts,
76,1,Washrooms,
76,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
76,1,Rugby Fields,
76,1,Softball,
76,1,Washrooms,
76,1,Soccer Fields,
77,1,Baseball Diamonds,
77,1,Community Halls,
77,1,Field Houses,
77,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
77,1,Soccer Fields,
77,1,Wading Pool,
77,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
77,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
77,1,Washrooms,
78,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
78,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
79,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
79,1,Field Houses,
79,2,Tennis Courts,
79,1,Basketball Courts,
79,1,Wading Pool,
79,1,Soccer Fields,
79,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
79,1,Washrooms,
79,1,Ball Hockey,
80,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
80,2,Basketball Courts,
80,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
80,1,Ball Hockey,
81,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
81,1,Softball,
81,1,Soccer Fields,
81,4,Tennis Courts,
81,1,Basketball Courts,
81,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
81,1,Ball Hockey,
82,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
82,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
82,1,Ultimate Fields,
82,1,Ball Hockey,
83,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
83,1,Basketball Courts,
83,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
84,2,Bowling Greens,
84,2,Tennis Courts,
84,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
84,1,Basketball Courts,
84,1,Wading Pool,
84,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
84,1,Ball Hockey,
84,1,Washrooms,
